BGGId,ImagePath
1,0
2,https://cf.geekdo-images.com/oQYhaJx5Lg3KcGis2reuWQ__original/img/owag4VgJDPyPt2ciYB9Hc5l4GnQ=/0x0/filters:format(jpeg)/pic4001505.jpg
3,Euro Classics (Reiner Knizia)
4,https://cf.geekdo-images.com/nYiYhUlatT2DpyXaJqXK3w__original/img/2NNluROL0K_q4H8yMxIyoiHXnxc=/0x0/filters:format(jpeg)/pic285299.jpg
5,3M Bookshelf
6,https://cf.geekdo-images.com/277POF80AUz2ZE9XSApyDg__original/img/hQCIS_adSN2LfBgUCsEpJ6CsPVQ=/0x0/filters:format(jpeg)/pic28424.jpg
7,https://cf.geekdo-images.com/LAzZ0q7ok2x92yQxj1tS2A__original/img/sfRg4rfnuSQ8KssBk7AJFdTfMCw=/0x0/filters:format(jpeg)/pic6458581.jpg
8,https://cf.geekdo-images.com/-pwShxFPJWrxye8o193e-w__original/img/QVz5wc68n_jsB3OcsANsZdZLpw0=/0x0/filters:format(jpeg)/pic374320.jpg
9,El Grand
10,1
11,0
12,Alea Big Box
13,0
14,0
15,Cosmic Encounter
16,https://cf.geekdo-images.com/MG02VVqE39lZZdOgtJU0mg__original/img/8ORCptrP1isD69HfHLq_C9tWnh0=/0x0/filters:format(jpeg)/pic573942.jpg
17,https://cf.geekdo-images.com/RHhz745U6a5ZSsfXHuyqFw__original/img/7szsaVrkei4B2CCBekJT3aShtNY=/0x0/filters:format(jpeg)/pic59279.jpg
18,5
19,https://cf.geekdo-images.com/Jc9Is7OyYz0NdWN_CDBi5g__original/img/XmlNNTdyuc3L-TIV2xbSda54ldw=/0x0/filters:format(jpeg)/pic786075.jpg
20,https://cf.geekdo-images.com/X6ExuMeF_c5xjPQrbEo0Cw__original/img/LlXcdIPs6kgoOpArORy2ymYU02M=/0x0/filters:format(jpeg)/pic451783.jpg
21,https://cf.geekdo-images.com/kK61hx1j0HmMp9kuEZEfmg__original/img/87kF2NoOXGN54six4TO50zqkD-Y=/0x0/filters:format(jpeg)/pic1615146.jpg
22,0
23,https://cf.geekdo-images.com/LXe8fV_o-sf1IQNz4Ohalg__original/img/U7sM0JQtQjfNFMSNUj4e4TZAQ28=/0x0/filters:format(jpeg)/pic1440309.jpg
24,https://cf.geekdo-images.com/4CEaXqehBHS4JCPGMDfnsg__original/img/hlBKez79K3my9EIFynxty5iwTCA=/0x0/filters:format(jpeg)/pic857.jpg
25,https://cf.geekdo-images.com/2ouk0jwg4T38K_PrALpSjQ__original/img/DQFxuBlKb-ExHmLljfuF8wYWjII=/0x0/filters:format(jpeg)/pic4222282.jpg
26,
27,https://cf.geekdo-images.com/DEX9Es2Bh_SoByJDo6q5zQ__original/img/aMAloVD05yHWIsTEFfobzkEPxX4=/0x0/filters:format(jpeg)/pic368339.jpg
28,Illuminati
29,https://cf.geekdo-images.com/QG52YF6TnB5QJ9uXgtkqPA__original/img/6XL8ZbELnCL481qb-TktbQQMIYw=/0x0/filters:format(jpeg)/pic237984.jpg
30,https://cf.geekdo-images.com/3Nl1qEL5tdB6Eo19FCBm9Q__original/img/yQtEd4BmQOOL96gRnK9jvrSeud0=/0x0/filters:format(jpeg)/pic4007794.jpg
31,https://cf.geekdo-images.com/xLMe3TMPeekyO5CpELErBA__original/img/KZ0AhYyLh8-kBtgs8ecZun82ToE=/0x0/filters:format(jpeg)/pic525738.jpg
32,https://cf.geekdo-images.com/rcoh1RggeMQJfXLSgCbmtA__original/img/H7i7lIZO2pksVTHhxj9GuHauNcM=/0x0/filters:format(jpeg)/pic4604213.jpg
34,https://cf.geekdo-images.com/AhS53CO05pBagyr9EfRazg__original/img/tYocUbfd0yIGoQPiWJ7YVFdCmyY=/0x0/filters:format(jpeg)/pic5747491.jpg
36,https://cf.geekdo-images.com/ZlZQnkIDefuLQMJGXXDzXA__original/img/xTYyjkb0OEqvWvdWDC2iMbkPQ6k=/0x0/filters:format(jpeg)/pic387448.jpg
37,https://cf.geekdo-images.com/640B5-ljtmZqgCPI2aCLtw__original/img/1PFucTE4ovuqaj5peRmBVLgHPL8=/0x0/filters:format(jpeg)/pic1314183.jpg
38,https://cf.geekdo-images.com/kazoS3z-rZ4RFBvAHMKbzA__original/img/aL3ufthCmP9yC4rNz3x99XgyI-U=/0x0/filters:format(jpeg)/pic6274530.jpg
39,https://cf.geekdo-images.com/6xSMvokg5iLIGScjuv5kEg__original/img/xjsBzqQ7hhzQc0iHBDwDJXIIG6Q=/0x0/filters:format(jpeg)/pic21974.jpg
40,https://cf.geekdo-images.com/pJmlIpIcUU7NOZlJE0z4KA__original/img/DnE7MHdiG04qX7Q2QEJJygJUAv0=/0x0/filters:format(jpeg)/pic651637.jpg
41,
42,Euro Classics (Reiner Knizia)
