to_node,from_node,Rating
220546,624,4.0
231920,993,8.0
231920,264,8.0
231920,267,8.0
231920,523,8.0
231920,990,7.3
231920,542,7.0
231920,840,6.0
185288,410,5.5
231837,601,6.0
231837,980,5.0
231837,592,4.0
282483,980,6.0
282863,668,10.0
282863,668,8.0
282863,475,6.5
282863,903,5.0
193727,780,10.0
193727,621,9.0
193727,840,9.0
193727,591,8.5
193727,545,8.0
193727,766,8.0
193727,990,8.0
193727,924,8.0
193727,980,7.5
193727,539,7.0
193727,536,4.0
282390,426,9.58
282390,883,7.0
305838,116,6.0
305838,421,5.0
323046,826,10.0
323046,560,9.0
323046,525,7.0
308755,621,10.0
308755,51,8.0
308755,426,5.0
308755,681,4.0
282410,634,6.0
282410,862,5.0
282410,681,4.0
282410,980,3.0
282700,601,6.0
282700,448,5.0
319792,309,3.0
305865,903,8.0
220461,123,7.0
220461,902,6.0
231812,990,8.0
282300,534,9.0
282300,545,8.0
282300,511,7.0
282300,495,7.0
282300,369,5.0
282300,523,5.0
282332,990,7.7
282332,832,6.0
282332,621,4.0
226789,990,8.2
226789,826,8.0
226789,818,7.5
226789,501,7.0
283076,767,7.5
283076,990,7.5
193697,542,6.0
305772,978,6.0
282421,116,6.0
282421,955,6.0
282421,316,3.0
193681,601,6.0
193681,202,5.5
193681,436,5.0
193681,419,4.0
193681,481,3.0
220597,454,6.0
220597,960,2.0
282347,457,7.0
282347,824,6.0
282347,862,6.0
282347,420,5.0
282347,955,5.0
193577,84,8.0
282910,433,7.0
282910,586,6.0
231683,758,10.0
231683,326,8.0
231683,369,6.0
282255,968,9.0
282255,481,6.0
225740,866,6.0
225740,744,4.0
225740,969,4.0
225740,970,3.0
342021,387,8.0
342021,862,7.5
193337,451,6.0
193337,443,3.0
301946,292,5.0
193700,369,8.0
185383,534,8.0
185383,990,7.5
185383,832,7.0
185383,508,7.0
185383,362,7.0
185383,523,7.0
185383,499,7.0
185383,544,7.0
185383,542,6.0
185383,251,6.0
185457,534,9.0
185457,990,7.5
185457,832,7.0
185457,508,7.0
185457,980,7.0
185457,542,6.0
193699,371,8.0
193699,369,6.0
185456,534,8.0
185456,990,7.5
185456,832,7.0
185456,508,7.0
185456,542,6.0
185456,544,6.0
220721,968,7.0
220721,883,7.0
220721,402,6.0
220721,969,6.0
220721,401,5.5
220721,955,5.0
220721,970,4.0
301638,750,7.0
301638,980,7.0
301638,601,5.0
192731,649,7.0
192731,862,6.5
192731,362,6.5
192730,862,5.0
192730,362,5.0
192730,649,5.0
192730,503,5.0
231362,968,8.0
231362,614,6.0
231362,744,5.0
231362,970,5.0
231362,969,4.0
231362,956,4.0
231362,592,4.0
231362,810,4.0
220885,165,9.35
220885,990,7.8
220885,531,7.0
220885,536,5.0
192904,417,5.0
192904,750,5.0
192904,980,4.0
192904,862,3.0
192728,362,6.0
192728,649,6.0
192728,361,3.5
192728,975,3.5
192717,980,5.0
192696,0,9.0
192696,990,7.0
192696,977,5.0
192696,636,2.0
284821,750,8.0
284821,618,7.0
284839,16,6.0
284323,701,5.0
342542,750,9.0
342542,413,6.0
342542,942,6.0
284417,972,6.5
284585,135,4.0
284617,968,7.0
284617,813,6.0
284862,422,7.0
284862,202,6.5
284862,592,6.0
284862,888,5.0
284948,817,8.0
284948,841,8.0
284948,990,7.8
284948,504,7.5
284948,499,7.0
284948,506,7.0
284948,528,7.0
285102,766,10.0
285128,955,5.5
285165,750,7.0
285165,402,7.0
285165,460,6.0
285165,939,5.0
285165,401,5.0
285165,955,4.0
285165,481,4.0
285165,601,4.0
231273,862,6.0
186185,862,6.0
186185,365,5.0
186185,454,5.0
186185,943,4.0
186185,955,4.0
186185,426,4.0
324957,978,7.5
324957,310,7.0
324957,601,7.0
308126,427,7.0
186208,202,3.0
186208,344,1.0
186208,162,1.0
322705,980,6.0
322705,202,5.75
322705,862,5.0
322705,421,4.0
220930,798,7.0
220930,202,6.25
220930,903,6.0
220930,502,6.0
285048,750,6.0
231316,610,7.0
225481,601,6.0
192634,990,8.0
192634,832,5.0
192634,997,4.0
284981,369,5.0
220980,767,7.0
220980,141,6.0
220980,854,5.0
220980,877,4.44
285028,724,6.0
285028,980,5.0
227163,968,7.0
192500,862,7.0
192500,977,7.0
192500,601,6.5
192500,351,6.5
342562,202,6.0
283805,787,7.5
283699,862,5.0
283699,980,5.0
283699,601,4.0
283699,903,4.0
283713,481,6.0
283746,980,5.0
283746,373,3.0
283790,601,7.5
283790,977,6.0
283790,421,5.0
193134,418,7.0
193134,687,6.5
193134,974,6.0
193134,451,5.0
301614,436,7.0
301614,481,6.0
301614,202,6.0
301614,601,5.0
283848,955,6.5
283848,589,6.5
283848,590,5.0
320084,560,10.0
320084,839,10.0
320084,825,8.0
320084,508,7.0
193271,955,6.0
193271,451,5.0
193271,468,4.0
231611,955,4.0
220642,29,7.0
220642,882,5.0
220642,361,4.0
301637,967,7.803
301637,955,5.5
231587,516,7.0
325413,877,4.44
325413,902,4.0
308385,748,7.0
308385,223,6.0
231559,91,7.0
185813,793,6.0
185813,811,4.0
284192,601,6.0
284192,980,5.0
342209,974,7.0
342209,413,5.0
342209,421,5.0
342209,942,4.0
342492,398,6.5
227070,91,7.0
227070,889,5.0
227070,636,1.0
231476,672,10.0
231476,993,8.0
325382,413,7.0
325382,481,7.0
325382,955,6.0
323317,750,8.0
231457,503,8.0
231457,903,8.0
231457,990,7.8
231457,101,6.0
325409,169,9.0
325409,202,5.5
227010,883,8.0
227010,914,4.0
284003,590,6.0
284003,812,6.0
284003,433,6.0
193049,899,7.0
193049,943,4.0
284072,544,9.0
284072,990,7.5
284072,834,7.0
301541,196,7.0
301541,980,5.0
301541,862,4.0
193031,990,7.8
184559,312,8.0
184559,489,8.0
276832,66,6.0
276832,136,5.0
194974,418,6.0
194974,414,3.0
194966,380,4.0
303635,424,6.0
303635,939,5.0
303635,980,5.0
277003,370,10.0
277018,309,5.0
277035,750,8.0
277035,361,6.0
277035,862,6.0
277035,980,6.0
303621,421,8.0
303621,955,6.0
303621,943,3.0
232510,862,5.0
232510,980,4.0
232510,158,2.0
277931,196,7.0
219564,977,6.0
219511,451,6.0
219511,978,4.5
219511,955,4.0
219511,974,3.0
323118,387,8.0
323118,601,7.0
323118,750,6.0
323118,862,5.0
323118,421,4.0
226330,788,9.0
226330,794,6.0
276641,29,8.0
276641,862,7.0
195158,321,6.0
195158,369,5.0
195158,426,1.0
323068,916,6.5
303676,955,5.0
195149,141,9.0
195149,7,8.0
276669,120,7.0
276669,475,6.0
195073,750,7.0
195073,935,7.0
195073,974,6.0
195073,451,6.0
195073,962,5.0
195073,468,4.0
226356,601,6.0
226356,810,4.0
325830,978,6.0
325830,862,5.0
325830,980,4.0
325830,903,3.0
303544,978,7.5
305564,426,7.0
226358,750,8.0
226358,862,6.0
226358,980,5.0
232358,297,6.0
341779,387,8.0
341779,750,7.0
341779,601,7.0
341779,888,4.0
232351,980,7.0
232351,23,6.5
232351,854,5.0
232351,903,3.0
232351,421,3.0
232351,877,3.0
232351,601,1.0
277671,594,7.0
277671,620,7.0
277671,609,5.0
232385,945,9.0
232385,750,7.0
232385,866,7.0
232385,418,5.0
232385,980,5.0
303552,903,6.0
277410,417,6.0
277410,932,5.0
277424,750,7.0
277424,862,6.0
277424,116,6.0
277424,608,5.0
194819,144,6.0
194819,338,5.5
341583,933,9.0
341583,930,6.0
341583,202,6.0
277481,750,6.0
232412,361,4.0
309341,939,9.0
309341,750,9.0
309341,697,5.0
275349,642,8.0
275349,454,6.5
275349,681,4.0
275349,877,3.0
184337,990,6.6
184337,365,5.0
184337,681,3.0
275703,750,6.0
341427,193,7.0
341427,955,6.5
341427,943,6.0
275715,422,8.0
275715,699,6.0
304983,906,8.0
304983,664,8.0
304987,724,7.0
319223,980,9.0
319223,682,7.9
319223,369,6.0
319223,426,5.0
275085,939,6.5
275085,862,4.0
275085,980,3.0
309545,903,10.0
309545,502,9.5
309545,812,6.0
349131,402,7.0
349131,472,7.0
349131,939,7.0
349131,436,5.0
349131,942,4.0
349131,888,3.0
219374,750,7.0
219374,413,6.0
219374,451,6.0
219374,955,5.0
219374,453,5.0
319295,601,6.0
319295,801,5.0
319295,978,4.8
276264,7,6.0
184477,513,8.0
184477,451,8.0
184477,481,7.0
184477,520,7.0
276459,750,8.0
276459,413,7.0
276459,477,7.0
276459,974,7.0
276459,451,7.0
276459,632,6.0
276459,460,5.0
276459,457,4.0
276459,446,2.0
304666,968,7.0
275857,481,8.0
275857,980,7.0
275857,955,5.5
219410,945,8.0
219410,750,7.0
219410,955,6.5
219410,413,6.0
219410,956,6.0
219410,167,6.0
219410,451,6.0
219410,457,4.0
232874,431,7.0
232874,168,7.0
232874,955,6.0
232874,974,6.0
232874,468,4.0
232874,744,4.0
232874,970,4.0
232874,969,4.0
277980,854,6.0
280856,601,7.5
280856,426,7.001
302421,202,5.5
280897,57,6.5
342016,387,8.0
342016,299,7.0
342016,977,6.5
342016,888,5.0
342016,601,5.0
280999,820,8.0
280999,814,8.0
280999,990,7.2
280999,507,7.0
280999,824,7.0
280999,831,5.0
302316,594,7.8
347146,968,8.0
347146,738,6.0
347146,702,6.0
347146,955,6.0
281245,776,6.2
281245,601,5.0
194034,862,7.0
194034,980,7.0
194034,451,6.0
194034,978,4.0
302463,601,7.0
302463,862,7.0
220234,169,8.0
220234,750,4.0
280729,987,9.0
280729,545,7.0
280729,528,6.0
280742,883,5.0
325679,968,7.0
184922,426,1.0
325678,974,9.0
319593,955,6.5
319593,688,6.0
226529,668,6.0
226529,141,3.0
309081,545,9.0
309081,994,9.0
309081,525,8.0
309081,990,7.8
309081,831,7.5
309081,836,7.0
319600,465,7.0
319600,633,7.0
319600,877,6.66
319600,481,6.0
194075,974,8.0
194075,632,6.0
194075,863,5.5
220226,426,6.0
220226,361,4.0
220226,474,3.0
281257,854,8.0
185244,417,6.0
185244,748,5.0
185246,365,5.0
302269,264,8.0
302269,903,5.0
308762,426,9.77
308762,73,4.5
302268,264,8.0
282080,475,3.0
220406,520,3.0
220440,596,8.0
220440,990,7.0
220440,499,6.5
220440,141,1.0
193792,542,8.0
193792,546,7.5
193792,835,7.0
193792,528,7.0
193792,815,7.0
225909,545,9.0
225909,987,9.0
225909,995,8.0
225909,999,8.0
225909,993,8.0
225909,998,8.0
225909,825,7.0
225909,369,5.0
281945,980,9.0
281945,990,7.4
281477,499,7.0
281477,990,7.0
281477,987,6.0
281477,980,6.0
194033,862,6.0
194033,748,6.0
194033,451,6.0
194033,954,3.0
194033,980,2.0
221208,755,7.0
221208,18,7.0
221208,977,6.5
221208,299,6.5
221208,436,4.0
308870,854,7.0
308870,862,4.0
185195,365,5.0
185195,854,5.0
185195,980,4.0
185195,862,3.0
281457,426,4.0
281457,888,1.0
281919,945,7.0
281919,974,7.0
281619,888,8.0
281619,968,7.0
281619,601,7.0
281619,202,6.5
185228,862,8.0
226013,750,9.0
226013,939,7.0
226013,481,6.0
226013,451,6.0
226013,421,5.0
226013,454,5.0
226013,418,4.0
194094,777,6.75
226081,202,6.0
226081,589,6.0
226081,980,5.0
220124,481,6.0
278484,57,6.5
226115,990,7.7
226115,835,7.0
226115,812,4.0
309109,196,7.0
309109,451,7.0
309109,937,6.0
194438,881,4.0
279056,601,7.0
279056,481,6.0
279056,465,6.0
279056,633,5.0
220137,361,2.0
347521,276,8.0
325704,980,7.0
325704,937,6.0
194534,862,7.0
194534,750,3.0
219926,534,8.0
219926,499,7.5
219926,990,7.2
219926,542,7.0
219926,832,5.0
278142,903,5.0
278218,990,7.8
278218,954,4.0
278304,758,9.0
302965,209,9.0
184780,601,6.5
184780,888,6.0
184780,202,5.75
184780,465,5.0
219985,426,7.0
219985,854,6.5
219985,978,6.0
325828,862,7.5
325828,980,7.0
325828,978,6.0
325828,903,5.0
184797,883,6.0
184797,950,6.0
279527,299,5.0
279527,977,4.0
302840,750,7.0
302840,401,6.5
302840,909,6.5
302840,943,6.0
302840,955,5.5
302840,890,2.0
302840,935,1.0
232250,0,6.0
279996,422,6.0
279996,503,5.0
279996,811,1.0
302887,877,6.0
302887,202,5.75
341931,223,7.0
341931,955,6.0
341931,649,6.0
280148,943,5.0
280148,601,5.0
184900,610,7.0
184900,856,7.0
184900,589,4.6
280202,422,7.0
280202,633,5.0
280202,481,4.0
280378,69,5.0
280378,681,5.0
194184,976,5.5
194184,255,4.0
194184,979,4.0
279967,766,7.0
279967,980,6.0
279967,886,5.0
279967,862,4.0
279967,877,3.0
279649,675,7.1
279556,528,10.0
279556,548,8.0
279556,995,7.0
279556,924,6.0
279556,904,5.0
279556,840,4.0
279581,977,8.0
279581,299,7.5
279581,866,7.0
184843,681,4.0
184843,426,1.0
302911,431,7.0
302911,750,7.0
302911,395,6.62
302911,719,6.5
302911,468,5.0
302911,421,5.0
325681,974,8.0
325681,968,6.5
184861,980,7.0
184861,877,4.1
184861,903,3.0
279776,987,9.0
279776,528,8.0
279776,534,7.0
279776,993,7.0
279776,995,7.0
279776,839,7.0
279776,544,6.0
279776,560,5.0
232238,280,8.0
226502,748,6.0
279928,7,8.0
279928,601,7.0
279931,724,7.0
279931,750,7.0
321757,862,8.0
321757,707,7.0
321757,980,6.0
224680,701,7.0
189919,857,5.0
293112,990,8.0
293112,504,7.0
293112,877,6.66
189902,13,7.0
223590,903,8.0
223590,990,7.8
223590,987,7.0
223590,544,6.0
321756,750,8.0
321756,862,8.0
321756,481,7.0
321756,465,7.0
299105,545,9.0
299105,990,7.8
229954,116,6.0
229954,454,5.5
229954,632,5.0
229954,361,3.0
190064,426,7.001
190047,990,7.4
190047,858,6.0
187383,750,8.0
