to_node,from_node,Rating
220546,624,4
231920,993,8
231920,264,8
231920,267,8
231920,523,8
231920,990,7
231920,542,7
231920,840,6
185288,410,6
231837,601,6
231837,980,5
231837,592,4
282483,980,6
282863,668,10
282863,668,8
282863,475,6
282863,903,5
193727,780,10
193727,621,9
193727,840,9
193727,591,8
193727,545,8
193727,766,8
193727,990,8
193727,924,8
193727,980,8
193727,539,7
193727,536,4
282390,426,10
282390,883,7
305838,116,6
305838,421,5
323046,826,10
323046,560,9
323046,525,7
308755,621,10
308755,51,8
308755,426,5
308755,681,4
282410,634,6
282410,862,5
282410,681,4
282410,980,3
282700,601,6
282700,448,5
319792,309,3
305865,903,8
220461,123,7
220461,902,6
231812,990,8
282300,534,9
282300,545,8
282300,511,7
282300,495,7
282300,369,5
282300,523,5
282332,990,8
282332,832,6
282332,621,4
226789,990,8
226789,826,8
226789,818,8
226789,501,7
283076,767,8
283076,990,8
193697,542,6
305772,978,6
282421,116,6
282421,955,6
282421,316,3
193681,601,6
193681,202,6
193681,436,5
193681,419,4
193681,481,3
220597,454,6
220597,960,2
282347,457,7
282347,824,6
282347,862,6
282347,420,5
282347,955,5
193577,84,8
282910,433,7
282910,586,6
231683,758,10
231683,326,8
231683,369,6
282255,968,9
282255,481,6
225740,866,6
225740,744,4
225740,969,4
225740,970,3
342021,387,8
342021,862,8
193337,451,6
193337,443,3
301946,292,5
193700,369,8
185383,534,8
185383,990,8
185383,832,7
185383,508,7
185383,362,7
185383,523,7
185383,499,7
185383,544,7
185383,542,6
185383,251,6
185457,534,9
185457,990,8
185457,832,7
185457,508,7
185457,980,7
185457,542,6
193699,371,8
193699,369,6
185456,534,8
185456,990,8
185456,832,7
185456,508,7
185456,542,6
185456,544,6
220721,968,7
220721,883,7
220721,402,6
220721,969,6
220721,401,6
220721,955,5
220721,970,4
301638,750,7
301638,980,7
301638,601,5
192731,649,7
192731,862,6
192731,362,6
192730,862,5
192730,362,5
192730,649,5
192730,503,5
231362,968,8
231362,614,6
231362,744,5
231362,970,5
231362,969,4
231362,956,4
231362,592,4
231362,810,4
220885,165,9
220885,990,8
220885,531,7
220885,536,5
192904,417,5
192904,750,5
192904,980,4
192904,862,3
192728,362,6
192728,649,6
192728,361,4
192728,975,4
192717,980,5
192696,0,9
192696,990,7
192696,977,5
192696,636,2
284821,750,8
284821,618,7
284839,16,6
284323,701,5
342542,750,9
342542,413,6
342542,942,6
284417,972,6
284585,135,4
284617,968,7
284617,813,6
284862,422,7
284862,202,6
284862,592,6
284862,888,5
284948,817,8
284948,841,8
284948,990,8
284948,504,8
284948,499,7
284948,506,7
284948,528,7
285102,766,10
285128,955,6
285165,750,7
285165,402,7
285165,460,6
285165,939,5
285165,401,5
285165,955,4
285165,481,4
285165,601,4
231273,862,6
186185,862,6
186185,365,5
186185,454,5
186185,943,4
186185,955,4
186185,426,4
324957,978,8
324957,310,7
324957,601,7
