BGGId,Rating,Username
220546,4.0,Webbe
231920,8.0,Rikmaster
231920,8.0,Ottawa_Sens
231920,8.0,RUSH_Rocks
231920,8.0,djberg96
231920,7.3,Walt Mulder
231920,7.0,smacphee
231920,6.0,natx17
185288,5.5,dbarbaglia
231837,6.0,punkin312
231837,5.0,oldgoat3769967
231837,4.0,moramis
282483,6.0,oldgoat3769967
282863,10.0,ShepWRISTS
282863,8.0,ShepWRISTS
282863,6.5,fibobs
282863,5.0,rseater
193727,10.0,jstalica
193727,9.0,cfarrell
193727,9.0,natx17
193727,8.5,Faustoxx
193727,8.0,marcocim
193727,8.0,general hoth
193727,8.0,Walt Mulder
193727,8.0,vindex
193727,7.5,oldgoat3769967
193727,7.0,Historix
193727,4.0,macfix
282390,9.58,OGRussHood
282390,7.0,oceanodeuegos
305838,6.0,thetba
305838,5.0,wellevorkanagawa
323046,10.0,uscaucasus
323046,9.0,lacm
323046,7.0,lroces1969
308755,10.0,cfarrell
308755,8.0,Jades09
308755,5.0,OGRussHood
308755,4.0,himokl
282410,6.0,cuzzle
282410,5.0,TomVasel
282410,4.0,himokl
282410,3.0,oldgoat3769967
282700,6.0,punkin312
282700,5.0,Ruckelpudding
319792,3.0,akaisamurai001
305865,8.0,rseater
220461,7.0,Benji68
220461,6.0,meduvea07
231812,8.0,Walt Mulder
282300,9.0,PSIM2
282300,8.0,marcocim
282300,7.0,pascalh
282300,7.0,carpa1981
282300,5.0,breakmanynecks
282300,5.0,djberg96
282332,7.7,Walt Mulder
282332,6.0,airjudden
282332,4.0,cfarrell
226789,8.2,Walt Mulder
226789,8.0,uscaucasus
226789,7.5,LOEF
226789,7.0,SBGrad
283076,7.5,charlest
283076,7.5,Walt Mulder
193697,6.0,smacphee
305772,6.0,william4192
282421,6.0,thetba
282421,6.0,Hessu68
282421,3.0,Desert_Witch
193681,6.0,punkin312
193681,5.5,jmdsplotter
193681,5.0,akapastorguy
193681,4.0,Andy Parsons
193681,3.0,ddash
220597,6.0,softfairy
220597,2.0,PoisonKiwi
282347,7.0,Kether1983
282347,6.0,dduhamel1
282347,6.0,TomVasel
282347,5.0,Tycho
282347,5.0,Hessu68
193577,8.0,alanB
282910,7.0,Lawster
282910,6.0,Gilnean
231683,10.0,Mamuz
231683,8.0,jp4media
231683,6.0,breakmanynecks
282255,9.0,HilkMAN
282255,6.0,ddash
225740,6.0,PzVIE
225740,4.0,Kosmonaut
225740,4.0,kystas
225740,3.0,barber
342021,8.0,stubby_jc
342021,7.5,TomVasel
193337,6.0,kathuna
193337,3.0,Sandrgia
301946,5.0,lordyuric
193700,8.0,breakmanynecks
185383,8.0,PSIM2
185383,7.5,Walt Mulder
185383,7.0,airjudden
185383,7.0,Lawrence Hung
185383,7.0,wa11eye
185383,7.0,djberg96
185383,7.0,Nap16
185383,7.0,yetima
185383,6.0,smacphee
185383,6.0,p4warrior
185457,9.0,PSIM2
185457,7.5,Walt Mulder
185457,7.0,airjudden
185457,7.0,Lawrence Hung
185457,7.0,oldgoat3769967
185457,6.0,smacphee
193699,8.0,Osbad
193699,6.0,breakmanynecks
185456,8.0,PSIM2
185456,7.5,Walt Mulder
185456,7.0,airjudden
185456,7.0,Lawrence Hung
185456,6.0,smacphee
185456,6.0,yetima
220721,7.0,HilkMAN
220721,7.0,oceanodeuegos
220721,6.0,BebryGamez
220721,6.0,kystas
220721,5.5,jancis
220721,5.0,Hessu68
220721,4.0,barber
301638,7.0,fake
301638,7.0,oldgoat3769967
301638,5.0,punkin312
192731,7.0,boxoftricks_13
192731,6.5,TomVasel
192731,6.5,wa11eye
192730,5.0,TomVasel
192730,5.0,wa11eye
192730,5.0,boxoftricks_13
192730,5.0,sdiberar
231362,8.0,HilkMAN
231362,6.0,JoergBoerg
231362,5.0,Kosmonaut
231362,5.0,barber
231362,4.0,kystas
231362,4.0,oskari
231362,4.0,moramis
231362,4.0,JasonSaastad
220885,9.35,stevejuggler
220885,7.8,Walt Mulder
220885,7.0,DaveKitcat
220885,5.0,macfix
192904,5.0,Slevin678
192904,5.0,fake
192904,4.0,oldgoat3769967
192904,3.0,TomVasel
192728,6.0,wa11eye
192728,6.0,boxoftricks_13
192728,3.5,DeviantMagick
192728,3.5,xHOLYxSNIPERx
192717,5.0,oldgoat3769967
192696,9.0,Tonydorrf
192696,7.0,Walt Mulder
192696,5.0,SeanXor
192696,2.0,Bigshowfan
284821,8.0,fake
284821,7.0,AlasDemigod
284839,6.0,cmicha
284323,5.0,Vespert
342542,9.0,fake
342542,6.0,DerSchroeder
342542,6.0,fizzle
284417,6.5,YvainLionKnight
284585,4.0,Brisse
284617,7.0,HilkMAN
284617,6.0,woodnoggin
284862,7.0,Kweevnidny
284862,6.5,jmdsplotter
284862,6.0,moramis
284862,5.0,larryjrice
284948,8.0,masama
284948,8.0,jerrygroen
284948,7.8,Walt Mulder
284948,7.5,RockyMountainNavy
284948,7.0,Nap16
284948,7.0,ftstevens
284948,7.0,Gareth00Simon
285102,10.0,general hoth
285128,5.5,Hessu68
285165,7.0,fake
285165,7.0,BebryGamez
285165,6.0,hauwech
285165,5.0,Florian Sohns
285165,5.0,jancis
285165,4.0,Hessu68
285165,4.0,ddash
285165,4.0,punkin312
231273,6.0,TomVasel
186185,6.0,TomVasel
186185,5.0,Yacoff
186185,5.0,softfairy
186185,4.0,juuzzom
186185,4.0,Hessu68
186185,4.0,OGRussHood
324957,7.5,william4192
324957,7.0,VaultBoy
324957,7.0,punkin312
308126,7.0,nvidia3dfx
186208,3.0,jmdsplotter
186208,1.0,lordunborn
186208,1.0,euronoob
322705,6.0,oldgoat3769967
322705,5.75,jmdsplotter
322705,5.0,TomVasel
322705,4.0,wellevorkanagawa
220930,7.0,apostateant
220930,6.25,jmdsplotter
220930,6.0,rseater
220930,6.0,DaMilli
285048,6.0,fake
231316,7.0,nikkapo
225481,6.0,punkin312
192634,8.0,Walt Mulder
192634,5.0,airjudden
192634,4.0,Tormenta
284981,5.0,breakmanynecks
220980,7.0,charlest
220980,6.0,Inconmon
220980,5.0,Boromir1983
220980,4.44,Geeken
285028,6.0,despelletjesvrienden
285028,5.0,oldgoat3769967
227163,7.0,HilkMAN
192500,7.0,TomVasel
192500,7.0,SeanXor
192500,6.5,punkin312
192500,6.5,tomreuhl
342562,6.0,jmdsplotter
283805,7.5,pistonsfan94
283699,5.0,TomVasel
283699,5.0,oldgoat3769967
283699,4.0,punkin312
283699,4.0,rseater
283713,6.0,ddash
283746,5.0,oldgoat3769967
283746,3.0,exparrot
283790,7.5,punkin312
283790,6.0,SeanXor
283790,5.0,wellevorkanagawa
193134,7.0,gimli043
193134,6.5,Scholle76
193134,6.0,kiwols
193134,5.0,kathuna
301614,7.0,akapastorguy
301614,6.0,ddash
301614,6.0,jmdsplotter
301614,5.0,punkin312
283848,6.5,Hessu68
283848,6.5,ottobre31
283848,5.0,pyrytus
320084,10.0,lacm
320084,10.0,nsevaux
320084,8.0,WildChild82
320084,7.0,Lawrence Hung
193271,6.0,Hessu68
193271,5.0,kathuna
193271,4.0,Camponotus
231611,4.0,Hessu68
220642,7.0,stormseeker75
220642,5.0,mcpranno
220642,4.0,DeviantMagick
301637,7.803,rjgomes
301637,5.5,Hessu68
231587,7.0,Shako
325413,4.44,Geeken
325413,4.0,meduvea07
308385,7.0,crimescene
308385,6.0,Ryan Keane
231559,7.0,mawihtec
185813,6.0,cradleofmilk
185813,4.0,lushchords
284192,6.0,punkin312
284192,5.0,oldgoat3769967
342209,7.0,kiwols
342209,5.0,DerSchroeder
342209,5.0,wellevorkanagawa
342209,4.0,fizzle
342492,6.5,Dusemir
227070,7.0,mawihtec
